&b / °,R_0 / 1/s
3,7.3
3.1,6.2
3.2,5.6
3.3,5.8
3.4,5.3
3.5,7.5
3.6,6.5
3.7,6.7
3.8,7.4
3.9,6.4
4,7
4.1,8
4.2,7.2
4.3,8.6
4.4,7.2
4.5,7.1
4.6,7
4.7,7.7
4.8,8.2
4.9,9
5,9.8
5.1,8.1
5.2,8.2
5.3,7.8
5.4,8.8
5.5,7.9
5.6,9.2
5.7,11.5
5.8,10.5
5.9,7.6
6,10.2
6.1,9.2
6.2,11.1
6.3,10.2
6.4,11.2
6.5,10.2
6.6,12.2
6.7,12.1
6.8,12.6
6.9,15.4
7,21.9
7.1,33.7
7.2,51.7
7.3,72.8
7.4,88.5
7.5,103.8
7.6,109.3
7.7,122.9
7.8,131.4
7.9,130.9
8,140.7
8.1,148.3
8.2,149.3
8.3,145.9
8.4,151.1
8.5,158.9
8.6,162.5
8.7,165
8.8,187.4
8.9,219.5
9,256.9
9.1,289.3
9.2,248.1
9.3,191.4
9.4,169.6
9.5,164.7
9.6,175.1
9.7,171.7
9.8,164.8
9.9,191.3
10,320.1
10.1,489.2
10.2,622.1
10.3,510.6
10.4,252.7
10.5,154.5
10.6,146
10.7,144.1
10.8,145.4
10.9,127.6
11,137.6
11.1,129.9
11.2,128
11.3,124.2
11.4,121.2
11.5,110.3
11.6,112.3
11.7,107.6
11.8,105.6
11.9,101.7
12,98.8
12.1,92.1
12.2,97.4
12.3,96.1
12.4,95.3
12.5,81.4
12.6,82.6
12.7,77.8
12.8,73
12.9,79.8
13,73
13.1,67.5
13.2,66.1
13.3,53.5
13.4,52.7
13.5,50.1
13.6,46.4
13.7,47
13.8,44.2
13.9,40.7
14,43.6
14.1,41.3
14.2,35.5
14.3,37.4
14.4,35.7
14.5,38.1
14.6,36.6
14.7,33.1
14.8,38.5
14.9,35.2
15,34
15.1,32.7
15.2,32.1
15.3,31.7
15.4,32.9
15.5,31.9
15.6,32.3
15.7,27.9
15.8,29.6
15.9,27.6
16,27
16.1,28.3
16.2,26.1
16.3,25.2
16.4,24.9
16.5,23
16.6,25
16.7,24.8
16.8,24.6
16.9,21.1
17,22.7
17.1,24.4
17.2,26.2
17.3,20.7
17.4,24.2
17.5,21.7
17.6,22.5
17.7,23.7
17.8,22.9
17.9,24.9
18,27.6
18.1,30.1
18.2,29.8
18.3,32.7
18.4,27.6
18.5,25.1
18.6,22.3
18.7,20.5
18.8,21.8
18.9,23.5
19,22.1
19.1,22.4
19.2,19.7
19.3,22.7
19.4,20.1
19.5,22.1
19.6,20.6
19.7,18
19.8,19.1
19.9,22.9
20,20.7
20.1,20.9
20.2,25.7
20.3,24
20.4,37.1
20.5,50.6
20.6,67.4
20.7,63.1
20.8,36.7
20.9,23.8
21,20.1
21.1,17.8
21.2,18.5
21.3,19.2
21.4,20.6
21.5,16.1
21.6,17.4
21.7,16.6
21.8,18
21.9,16.9
22,18
22.1,18.4
22.2,18.4
22.3,16.1
22.4,15.9
22.5,17.5
22.6,17.7
22.7,18.7
22.8,17.2
22.9,15.2
23,17.7
23.1,15
23.2,17.6
23.3,16.4
23.4,17.9
23.5,16
23.6,15.3
23.7,16.4
23.8,13.9
23.9,13.1
24,17.4
24.1,13.6
24.2,15.9
24.3,14
24.4,12.5
24.5,13.4
24.6,14.5
24.7,14.7
24.8,13.2
24.9,13.3
25,11.8
25.1,12.5
25.2,14.3
25.3,13
25.4,12.2
25.5,13.6
25.6,12.9
25.7,13.7
25.8,12.8
25.9,13.8
26,13.6
26.1,14.9
26.2,12
26.3,12.2
26.4,13.3
26.5,12
26.6,11.5
26.7,11.9
26.8,11.1
26.9,10.4
27,12.1
27.1,10.9
27.2,12.3
27.3,11.7
27.4,10.6
27.5,12.5
27.6,8.7
27.7,9.2
27.8,11.1
27.9,11.9
28,12.5
28.1,12.7
28.2,10.5
28.3,9.4
28.4,10.8
28.5,8.9
28.6,10.1
28.7,10.4
28.8,9.4
28.9,10.1
29,10.4
29.1,8.4
29.2,10.9
29.3,9.7
29.4,9.1
29.5,9.4
29.6,10.2
29.7,8.8
29.8,9.5
29.9,8.5
30,9.9
30.1,8.7
30.2,9.5
30.3,8.5
30.4,8.6
30.5,8.7
30.6,10.6
30.7,7.5
30.8,7.7
30.9,9.3
31,10.1
31.1,8.4
31.2,8.7
31.3,8.5
31.4,7.7
31.5,10.1
31.6,8.3
31.7,8.8
31.8,11.1
31.9,12.6
32,13.2
32.1,10.2
32.2,9.1
32.3,9.1
32.4,7.8
32.5,7.8
32.6,7.6
32.7,8.2
32.8,7.9
32.9,7.9
33,8.9
33.1,8.8
33.2,8.8
33.3,5.9
33.4,6.5
33.5,6.3
33.6,7.5
33.7,6.8
33.8,7.2
33.9,5.8
34,7.1
