&b / °,R_0 / 1/s,R_1 / 1/s
3,29.2,
3.1,27.6,
3.2,34.5,
3.3,27.7,
3.4,30.2,
3.5,30.8,
3.6,34.4,
3.7,30,
3.8,34.9,
3.9,34.7,
4,37.1,
4.1,38.4,
4.2,38.2,
4.3,40.9,
4.4,41.9,
4.5,46,
4.6,48.2,
4.7,45.7,
4.8,48,
4.9,53.7,
5,62.5,
5.1,85.5,
5.2,132.9,
5.3,186,
5.4,214.3,
5.5,246.5,
5.6,292,
5.7,310.5,
5.8,338,
5.9,357.4,
6,384.6,
6.1,400.3,
6.2,415.3,
6.3,431.4,
6.4,446.5,
6.5,445,
6.6,451.8,
6.7,463.7,
6.8,467.6,
6.9,471.9,
7,466.2,
7.1,467,
7.2,482.8,
7.3,472.9,
7.4,472,
7.5,467.1,
7.6,465.1,
7.7,462.4,
7.8,459.6,
7.9,453.4,
8,452.2,
8.1,436.7,
8.2,434.7,
8.3,433.9,
8.4,420.1,
8.5,440.4,
8.6,425,
8.7,446.3,
8.8,536.1,
8.9,810.6,
9,970.1,
9.1,1048.1,
9.2,759.4,
9.3,461.5,
9.4,418,
9.5,417.9,
9.6,412.6,
9.7,410.9,
9.8,439.5,
9.9,671.5,
10,1422.9,
10.1,2166.7,
10.2,2457.6,
10.3,1768.3,
10.4,682.3,
10.5,378.6,
10.6,343.1,
10.7,328.4,
10.8,333.4,
10.9,322.8,
11,321.1,
11.1,299.9,
11.2,299.9,
11.3,291.6,
11.4,289.8,
11.5,285,
11.6,278.1,
11.7,255.1,
11.8,258.1,
11.9,252,
12,247.1,
12.1,241.6,
12.2,252.4,
12.3,226,
12.4,231.2,
12.5,223.9,
12.6,217.4,
12.7,213.7,
12.8,205.2,
12.9,200.3,
13,196.4,
13.1,185.9,
13.2,174,
13.3,170.6,
13.4,160.8,
13.5,157,
13.6,155.1,
13.7,148.6,
13.8,153.5,
13.9,150,
14,146,
14.1,139.7,
14.2,134.9,
14.3,135.1,
14.4,126,
14.5,128.3,
14.6,129.1,
14.7,122.4,
14.8,122.5,
14.9,122.3,
15,118.7,
15.1,118,
15.2,113.2,
15.3,113.3,
15.4,109.4,
15.5,107.5,
15.6,113.3,
15.7,108.1,
15.8,103.1,
15.9,106.9,
16,107.8,
16.1,105.3,
16.2,102.1,
16.3,105,
16.4,101.7,
16.5,102.1,
16.6,94.9,
16.7,,98.5
16.8,,106.1
16.9,,96.2
17,,99.4
17.1,,101.1
17.2,,94.9
17.3,,91.7
17.4,,91.1
17.5,,97.3
17.6,,97.3
17.7,,97.7
17.8,,100.9
17.9,,108.3
18,,118.8
18.1,,137
18.2,,172.4
18.3,,174.4
18.4,,125.9
18.5,,94.8
18.6,,91.3
18.7,,94.2
18.8,,90.6
18.9,,89.7
19,,89
19.1,,86.1
19.2,,83.2
19.3,,92.2
19.4,,84.9
19.5,,87.6
19.6,,89
19.7,,89.8
19.8,,92.2
19.9,,87.8
20,,90.6
20.1,,88.1
20.2,,96.9
20.3,,141.8
20.4,,222.5
20.5,,338.1
20.6,,396.4
20.7,,301.6
20.8,,173.3
20.9,,94.1
21,,82.3
21.1,,76.3
21.2,,79.4
21.3,,78.1
21.4,,76
21.5,,76.8
21.6,,74.2
21.7,,77.1
21.8,,77.1
21.9,,72.7
22,,73.4
22.1,,74.8
22.2,,71.9
22.3,,73
22.4,,68.2
22.5,,70.1
22.6,,65.8
22.7,,74.7
22.8,,63.1
22.9,,69.4
23,,67.4
23.1,,68.3
23.2,,66.7
23.3,,64.9
23.4,,62.1
23.5,,59.8
23.6,,67.5
23.7,,63.6
23.8,,61.7
23.9,,65.8
24,,65.7
24.1,,59.7
24.2,,64.5
24.3,,61.7
24.4,,57
24.5,,60.8
24.6,,60.5
24.7,,58
24.8,,57.9
24.9,,57.9
25,,54.6
25.1,,59
25.2,,59.6
25.3,,59.8
25.4,,55.6
25.5,,53.4
25.6,,55.4
25.7,,57.6
25.8,,56.5
25.9,,54
26,,54.3
26.1,,55.7
26.2,,55.3
26.3,,54.4
26.4,,58.5
26.5,,56.5
26.6,,52
26.7,,53.7
26.8,,50.5
26.9,,48.4
27,,54.5
27.1,,51.4
27.2,,52.9
27.3,,49.6
27.4,,50.6
27.5,,51.1
27.6,,49.9
27.7,,50.5
27.8,,50
27.9,,56.4
28,,59.1
28.1,,59.5
28.2,,
28.3,,48.7
28.4,,46.3
28.5,,45.8
28.6,,48.7
28.7,,44.5
28.8,,46.2
28.9,,47.7
29,,42.7
29.1,,45
29.2,,41.6
29.3,,47
29.4,,44.4
29.5,,45.2
29.6,,43.2
29.7,,44.1
29.8,,44.9
29.9,,45.7
30,,42.2
30.1,,41.3
30.2,,44.1
30.3,,43.3
30.4,,41.9
30.5,,43.1
30.6,,45
30.7,,39.5
30.8,,44.1
30.9,,41.5
31,,39.3
31.1,,40.2
31.2,,42.7
31.3,,44.2
31.4,,42.7
31.5,,39.3
31.6,,45.2
31.7,,61.9
31.8,,68.8
31.9,,79.7
32,,68.5
32.1,,55.3
32.2,,50.3
32.3,,37.7
32.4,,42
32.5,,39
32.6,,37.1
32.7,,38.4
32.8,,37.2
32.9,,36.6
33,,37.9
33.1,,35.5
33.2,,38.1
33.3,,35.6
33.4,,36.3
33.5,,37.9
33.6,,35.3
33.7,,36.6
33.8,,35.1
33.9,,37.9
34,,29.8
