&b / °,R_0 / 1/s
3,16
3.1,14.1
3.2,19
3.3,22.7
3.4,26.8
3.5,47
3.6,110.8
3.7,244.8
3.8,432.2
3.9,564.5
4,689.1
4.1,754.9
4.2,830.2
4.3,883.8
4.4,912.9
4.5,964.3
4.6,979
4.7,997
4.8,983.7
4.9,977.3
5,957.9
5.1,958.3
5.2,954.5
5.3,931
5.4,899.6
5.5,881.8
5.6,852.6
5.7,817.5
5.8,804.1
5.9,779.2
6,749.4
6.1,753.6
6.2,866.5
6.3,1096.8
6.4,1392.5
6.5,1453.8
6.6,1125.5
6.7,753
6.8,669
6.9,705.4
7,1036.7
7.1,1853.2
7.2,2604.7
7.3,2757.3
7.4,1904.2
7.5,899.1
7.6,533.1
7.7,471.5
7.8,449.8
7.9,448.9
8,426.1
8.1,415.7
8.2,396.6
8.3,383.7
8.4,390.1
8.5,368.1
8.6,353.1
8.7,334.2
8.8,319.1
8.9,304.8
9,300.3
9.1,297.1
9.2,284.5
9.3,272
9.4,254.9
9.5,239.2
9.6,227.6
9.7,224.3
9.8,210.7
9.9,215.6
10,207.1
10.1,189
10.2,190.3
10.3,183.8
10.4,181.8
10.5,175.6
10.6,162.9
10.7,159
10.8,162.1
10.9,157.7
11,150.5
11.1,161.5
11.2,150.1
11.3,140.8
11.4,140.5
11.5,140.5
11.6,138.4
11.7,141.3
11.8,136.7
11.9,130.9
12,133.8
12.1,130.6
12.2,121.5
12.3,128.2
12.4,124.5
12.5,131.1
12.6,150.3
12.7,201.3
12.8,276
12.9,319.8
13,310.4
13.1,201.3
13.2,137
13.3,116.6
13.4,126.6
13.5,117.3
13.6,113
13.7,112.8
13.8,114
13.9,112
14,110.2
14.1,113.4
14.2,134.8
14.3,231.9
14.4,522.3
14.5,742.8
14.6,776.8
14.7,474.3
14.8,179.3
14.9,107.5
15,100.6
15.1,96.3
15.2,97.7
15.3,88.5
15.4,85.5
15.5,84.7
15.6,82.1
15.7,84.5
15.8,82.6
15.9,77.3
16,80
16.1,75.2
16.2,77
16.3,77.2
16.4,73.1
16.5,76.7
16.6,69.8
16.7,66.2
16.8,65
16.9,63.3
17,62.6
17.1,64.2
17.2,61.2
17.3,63
17.4,57.9
17.5,57
17.6,52.8
17.7,58.9
17.8,55.1
17.9,52.2
18,52.7
18.1,51.6
18.2,52.3
18.3,52
18.4,52.5
18.5,47.5
18.6,49.8
18.7,46.8
18.8,46.3
18.9,46
19,50
19.1,49.4
19.2,53.2
19.3,52.7
19.4,73
19.5,80.7
19.6,94
19.7,69.5
19.8,45.5
19.9,43.6
20,41.6
20.1,37.1
20.2,42.1
20.3,36.8
20.4,38.9
20.5,36.6
20.6,35
20.7,38.1
20.8,35.8
20.9,35.9
21,36.3
21.1,34.8
21.2,33.1
21.3,35.9
21.4,33.2
21.5,35
21.6,36.6
21.7,38.6
21.8,51.2
21.9,79.7
22,153
22.1,197.1
22.2,173.2
22.3,112.2
22.4,51.2
22.5,31.7
22.6,32.5
22.7,30.3
22.8,30.6
22.9,28.5
23,31.6
