E_1 / keV,N_1
-0.06,0
0,0
0.06,0
0.13,1
0.19,7
0.26,0
0.32,0
0.38,0
0.45,0
0.51,0
0.58,0
0.64,0
0.7,0
0.77,0
0.83,0
0.9,0
0.96,0
1.02,0
1.09,0
1.15,0
1.22,0
1.28,0
1.34,0
1.41,0
1.47,0
1.54,0
1.6,0
1.66,0
1.73,0
1.79,0
1.86,0
1.92,1
1.98,0
2.05,0
2.11,1
2.18,5
2.24,5
2.3,5
2.37,5
2.43,7
2.5,10
2.56,5
2.62,12
2.69,11
2.75,10
2.82,11
2.88,7
2.94,5
3.01,8
3.07,12
3.14,7
3.2,13
3.26,13
3.33,13
3.39,10
3.46,6
3.52,18
3.58,11
3.65,14
3.71,10
3.78,10
3.84,14
3.9,6
3.97,12
4.03,10
4.1,14
4.16,14
4.22,16
4.29,10
4.35,13
4.42,14
4.48,9
4.54,13
4.61,9
4.67,11
4.74,11
4.8,12
4.86,6
4.93,21
4.99,15
5.06,15
5.12,12
5.18,13
5.25,15
5.31,14
5.38,14
5.44,16
5.5,11
5.57,9
5.63,9
5.7,13
5.76,18
5.82,10
5.89,12
5.95,18
6.02,15
6.08,19
6.14,18
6.21,15
6.27,22
6.34,25
6.4,19
6.46,27
6.53,24
6.59,18
6.66,17
6.72,14
6.78,19
6.85,24
6.91,19
6.98,26
7.04,20
7.1,18
7.17,19
7.23,22
7.3,22
7.36,22
7.42,28
7.49,28
7.55,44
7.62,46
7.68,102
7.74,235
7.81,432
7.87,798
7.94,1111
8,1415
8.06,1510
8.13,1545
8.19,1271
8.26,911
8.32,671
8.38,484
8.45,518
8.51,701
8.58,904
8.64,1118
8.7,1117
8.77,953
8.83,864
8.9,617
8.96,444
9.02,308
9.09,218
9.15,128
9.22,74
9.28,48
9.34,34
9.41,26
9.47,44
9.54,39
9.6,53
9.66,51
9.73,40
9.79,27
9.86,14
9.92,9
9.98,7
10.05,0
10.11,1
10.18,0
10.24,0
10.3,0
10.37,0
10.43,0
10.5,0
10.56,0
10.62,0
10.69,0
10.75,1
10.82,0
10.88,0
10.94,0
11.01,0
11.07,0
11.14,1
11.2,0
11.26,1
11.33,0
11.39,2
11.46,2
11.52,0
11.58,2
11.65,0
11.71,1
11.78,1
11.84,1
11.9,0
11.97,0
12.03,1
12.1,0
12.16,0
12.22,1
12.29,2
12.35,1
12.42,0
12.48,0
12.54,1
12.61,1
12.67,2
12.74,1
12.8,1
12.86,2
12.93,1
12.99,1
13.06,1
13.12,1
13.18,0
13.25,3
13.31,2
13.38,4
13.44,0
13.5,1
13.57,1
13.63,2
13.7,0
13.76,1
13.82,3
13.89,1
13.95,1
14.02,0
14.08,0
14.14,1
14.21,0
14.27,2
14.34,0
14.4,0
14.46,1
14.53,0
14.59,1
14.66,0
14.72,0
14.78,1
14.85,2
14.91,1
14.98,0
15.04,0
15.1,0
15.17,0
15.23,0
15.3,1
15.36,1
15.42,0
15.49,1
15.55,1
15.62,0
15.68,0
15.74,1
15.81,1
15.87,1
15.94,0
16,0
16.06,1
16.13,0
16.19,0
16.26,72
