E_1 / keV,N_1,E_2 / keV,N_2
-0.06,0,-0.06,0
0,0,0,0
0.06,0,0.06,0
0.13,0,0.13,0
0.19,0,0.19,4
0.26,0,0.26,0
0.32,0,0.32,0
0.38,0,0.38,0
0.45,0,0.45,0
0.51,0,0.51,0
0.58,0,0.58,0
0.64,0,0.64,0
0.7,0,0.7,0
0.77,0,0.77,0
0.83,0,0.83,0
0.9,0,0.9,0
0.96,0,0.96,0
1.02,0,1.02,0
1.09,0,1.09,0
1.15,0,1.15,0
1.22,0,1.22,0
1.28,0,1.28,0
1.34,0,1.34,0
1.41,0,1.41,0
1.47,0,1.47,0
1.54,0,1.54,0
1.6,0,1.6,0
1.66,0,1.66,0
1.73,0,1.73,0
1.79,0,1.79,0
1.86,0,1.86,0
1.92,0,1.92,1
1.98,0,1.98,0
2.05,0,2.05,0
2.11,0,2.11,0
2.18,0,2.18,1
2.24,0,2.24,6
2.3,0,2.3,4
2.37,0,2.37,3
2.43,0,2.43,7
2.5,0,2.5,8
2.56,0,2.56,10
2.62,0,2.62,5
2.69,0,2.69,9
2.75,0,2.75,6
2.82,0,2.82,4
2.88,0,2.88,5
2.94,0,2.94,12
3.01,0,3.01,5
3.07,0,3.07,8
3.14,0,3.14,10
3.2,0,3.2,8
3.26,0,3.26,7
3.33,0,3.33,11
3.39,0,3.39,10
3.46,0,3.46,11
3.52,0,3.52,8
3.58,0,3.58,10
3.65,0,3.65,7
3.71,0,3.71,8
3.78,0,3.78,7
3.84,0,3.84,5
3.9,0,3.9,12
3.97,0,3.97,6
4.03,0,4.03,11
4.1,0,4.1,11
4.16,0,4.16,12
4.22,0,4.22,15
4.29,0,4.29,8
4.35,0,4.35,12
4.42,0,4.42,13
4.48,0,4.48,10
4.54,0,4.54,16
4.61,0,4.61,11
4.67,0,4.67,18
4.74,0,4.74,8
4.8,0,4.8,10
4.86,0,4.86,11
4.93,0,4.93,13
4.99,0,4.99,12
5.06,0,5.06,20
5.12,0,5.12,15
5.18,0,5.18,6
5.25,0,5.25,10
5.31,0,5.31,16
5.38,0,5.38,21
5.44,0,5.44,22
5.5,0,5.5,12
5.57,0,5.57,11
5.63,0,5.63,13
5.7,0,5.7,10
5.76,0,5.76,16
5.82,0,5.82,20
5.89,0,5.89,20
5.95,0,5.95,47
6.02,0,6.02,78
6.08,0,6.08,151
6.14,0,6.14,289
6.21,0,6.21,506
6.27,0,6.27,754
6.34,0,6.34,1006
6.4,0,6.4,1106
6.46,0,6.46,1028
6.53,0,6.53,835
6.59,0,6.59,635
6.66,0,6.66,408
6.72,0,6.72,234
6.78,0,6.78,140
6.85,0,6.85,126
6.91,0,6.91,128
6.98,0,6.98,176
7.04,0,7.04,184
7.1,0,7.1,179
7.17,0,7.17,155
7.23,0,7.23,115
7.3,0,7.3,80
7.36,0,7.36,45
7.42,0,7.42,24
7.49,0,7.49,9
7.55,0,7.55,5
7.62,0,7.62,8
7.68,0,7.68,7
7.74,0,7.74,7
7.81,0,7.81,6
7.87,0,7.87,5
7.94,0,7.94,5
8,0,8,5
8.06,0,8.06,3
8.13,0,8.13,9
8.19,0,8.19,18
8.26,0,8.26,29
8.32,0,8.32,49
8.38,0,8.38,104
8.45,0,8.45,195
8.51,0,8.51,291
8.58,0,8.58,380
8.64,0,8.64,459
8.7,0,8.7,458
8.77,0,8.77,423
8.83,0,8.83,295
8.9,0,8.9,173
8.96,0,8.96,89
9.02,0,9.02,46
9.09,0,9.09,26
9.15,0,9.15,9
9.22,0,9.22,4
9.28,0,9.28,9
9.34,0,9.34,14
9.41,0,9.41,18
9.47,0,9.47,50
9.54,0,9.54,54
9.6,0,9.6,53
9.66,0,9.66,46
9.73,0,9.73,35
9.79,0,9.79,32
9.86,0,9.86,18
9.92,0,9.92,14
9.98,0,9.98,10
10.05,0,10.05,3
10.11,0,10.11,0
10.18,0,10.18,0
10.24,0,10.24,1
10.3,0,10.3,0
10.37,0,10.37,0
10.43,0,10.43,0
10.5,0,10.5,0
10.56,0,10.56,0
10.62,0,10.62,0
10.69,0,10.69,0
10.75,0,10.75,0
10.82,0,10.82,0
10.88,0,10.88,0
10.94,0,10.94,0
11.01,0,11.01,0
11.07,0,11.07,1
11.14,0,11.14,1
11.2,0,11.2,0
11.26,0,11.26,0
11.33,0,11.33,0
11.39,0,11.39,0
11.46,0,11.46,0
11.52,0,11.52,2
11.58,0,11.58,0
11.65,0,11.65,0
11.71,0,11.71,1
11.78,0,11.78,4
11.84,0,11.84,1
11.9,0,11.9,2
11.97,0,11.97,0
12.03,0,12.03,1
12.1,0,12.1,1
12.16,0,12.16,2
12.22,0,12.22,2
12.29,0,12.29,0
12.35,0,12.35,0
12.42,0,12.42,0
12.48,0,12.48,0
12.54,0,12.54,0
12.61,0,12.61,0
12.67,0,12.67,0
12.74,0,12.74,0
12.8,0,12.8,1
12.86,0,12.86,0
12.93,0,12.93,1
12.99,0,12.99,0
13.06,0,13.06,0
13.12,0,13.12,0
13.18,0,13.18,1
13.25,0,13.25,1
13.31,0,13.31,0
13.38,0,13.38,0
13.44,0,13.44,0
13.5,0,13.5,1
13.57,0,13.57,0
13.63,0,13.63,0
13.7,0,13.7,0
13.76,0,13.76,0
13.82,0,13.82,1
13.89,0,13.89,0
13.95,0,13.95,0
14.02,0,14.02,1
14.08,0,14.08,0
14.14,0,14.14,0
14.21,0,14.21,0
14.27,0,14.27,0
14.34,0,14.34,0
14.4,0,14.4,0
14.46,0,14.46,1
14.53,0,14.53,0
14.59,0,14.59,0
14.66,0,14.66,1
14.72,0,14.72,1
14.78,0,14.78,1
14.85,0,14.85,1
14.91,0,14.91,1
14.98,0,14.98,0
15.04,0,15.04,0
15.1,0,15.1,0
15.17,0,15.17,0
15.23,0,15.23,0
15.3,0,15.3,1
15.36,0,15.36,0
15.42,0,15.42,0
15.49,0,15.49,0
15.55,0,15.55,1
15.62,0,15.62,0
15.68,0,15.68,0
15.74,0,15.74,0
15.81,0,15.81,0
15.87,0,15.87,0
