E_1 / keV,N_1
-0.06,0
0,0
0.06,0
0.13,0
0.19,10
0.26,2
0.32,0
0.38,0
0.45,0
0.51,0
0.58,0
0.64,0
0.7,0
0.77,0
0.83,0
0.9,0
0.96,0
1.02,0
1.09,0
1.15,0
1.22,0
1.28,0
1.34,0
1.41,0
1.47,0
1.54,0
1.6,0
1.66,0
1.73,0
1.79,0
1.86,0
1.92,0
1.98,0
2.05,0
2.11,0
2.18,1
2.24,2
2.3,1
2.37,0
2.43,3
2.5,7
2.56,3
2.62,5
2.69,4
2.75,6
2.82,8
2.88,2
2.94,5
3.01,4
3.07,7
3.14,7
3.2,3
3.26,5
3.33,8
3.39,8
3.46,6
3.52,4
3.58,4
3.65,5
3.71,6
3.78,0
3.84,2
3.9,10
3.97,6
4.03,6
4.1,6
4.16,6
4.22,8
4.29,6
4.35,10
4.42,7
4.48,10
4.54,10
4.61,8
4.67,7
4.74,13
4.8,5
4.86,8
4.93,10
4.99,18
5.06,23
5.12,40
5.18,69
5.25,94
5.31,150
5.38,168
5.44,183
5.5,147
5.57,134
5.63,76
5.7,66
5.76,56
5.82,48
5.89,53
5.95,74
6.02,86
6.08,113
6.14,182
6.21,253
6.27,371
6.34,577
6.4,604
6.46,618
6.53,467
6.59,359
6.66,230
6.72,143
6.78,77
6.85,67
6.91,60
6.98,83
7.04,100
7.1,108
7.17,86
7.23,95
7.3,55
7.36,71
7.42,64
7.49,84
7.55,68
7.62,49
7.68,34
7.74,23
7.81,18
7.87,5
7.94,5
8,9
8.06,8
8.13,9
8.19,10
8.26,16
8.32,17
8.38,15
8.45,13
8.51,7
8.58,6
8.64,1
8.7,2
8.77,1
8.83,2
8.9,1
8.96,2
9.02,1
9.09,0
9.15,0
9.22,0
9.28,0
9.34,2
9.41,0
9.47,3
9.54,2
9.6,0
9.66,1
9.73,2
9.79,4
9.86,0
9.92,2
9.98,2
10.05,0
10.11,1
10.18,0
10.24,0
10.3,0
10.37,0
10.43,0
10.5,2
10.56,2
10.62,0
10.69,0
10.75,0
10.82,3
10.88,1
10.94,0
11.01,1
11.07,0
11.14,1
11.2,0
11.26,0
11.33,0
11.39,2
11.46,1
11.52,1
11.58,0
11.65,0
11.71,2
11.78,0
11.84,2
11.9,2
11.97,1
12.03,0
12.1,0
12.16,4
12.22,1
12.29,0
12.35,1
12.42,0
12.48,0
12.54,0
12.61,0
12.67,1
12.74,0
12.8,0
12.86,0
12.93,0
12.99,0
13.06,0
13.12,0
13.18,1
13.25,0
13.31,0
13.38,0
13.44,1
13.5,3
13.57,0
13.63,1
13.7,0
13.76,0
13.82,0
13.89,1
13.95,0
14.02,1
14.08,0
14.14,0
14.21,1
14.27,1
14.34,2
14.4,0
14.46,0
14.53,1
14.59,0
14.66,0
14.72,0
14.78,0
14.85,0
14.91,0
14.98,1
15.04,0
15.1,0
15.17,0
15.23,0
15.3,2
15.36,0
15.42,2
15.49,0
15.55,0
15.62,1
15.68,0
15.74,0
15.81,2
15.87,1
15.94,0
16,0
16.06,1
16.13,0
16.19,0
16.26,257
